Base SKU,Assigned To Handles/Sizes,Total Variants
G07V1WHTM,"organic-bamboo-women-lounge-joggers-white (size M); organic-bamboo-men-lounge-joggers-white (size M)",2
G07V1WHTL,"organic-bamboo-women-lounge-joggers-white (size L); organic-bamboo-men-lounge-joggers-white (size L)",2
G07V1WHTXL,"organic-bamboo-women-lounge-joggers-white (size XL); organic-bamboo-men-lounge-joggers-white (size XL)",2
G07V1TAUPXS,"organic-bamboo-women-lounge-joggers-taupe (size XS); organic-bamboo-men-lounge-joggers-taupe (size XS); organic-bamboo-women-lounge-joggers-ns-1 (size XS)",3
G07V1TAUPS,"organic-bamboo-women-lounge-joggers-taupe (size S); organic-bamboo-men-lounge-joggers-taupe (size S); organic-bamboo-women-lounge-joggers-ns-1 (size S)",3
G07V1TAUPM,"organic-bamboo-women-lounge-joggers-taupe (size M); organic-bamboo-men-lounge-joggers-taupe (size M); organic-bamboo-women-lounge-joggers-ns-1 (size M)",3
G07V1TAUPL,"organic-bamboo-women-lounge-joggers-taupe (size L); organic-bamboo-men-lounge-joggers-taupe (size L); organic-bamboo-women-lounge-joggers-ns-1 (size L)",3
G07V1TAUPXL,"organic-bamboo-women-lounge-joggers-taupe (size XL); organic-bamboo-men-lounge-joggers-taupe (size XL); organic-bamboo-women-lounge-joggers-ns-1 (size XL)",3
G07V1SGXS,"organic-bamboo-women-lounge-joggers-sage-green (size XS); organic-bamboo-men-lounge-joggers-sage-green (size XS)",2
G07V1SGS,"organic-bamboo-women-lounge-joggers-sage-green (size S); organic-bamboo-men-lounge-joggers-sage-green (size S)",2
G07V1SGM,"organic-bamboo-women-lounge-joggers-sage-green (size M); organic-bamboo-men-lounge-joggers-sage-green (size M)",2
G07V1SGL,"organic-bamboo-women-lounge-joggers-sage-green (size L); organic-bamboo-men-lounge-joggers-sage-green (size L)",2
G07V1SGXL,"organic-bamboo-women-lounge-joggers-sage-green (size XL); organic-bamboo-men-lounge-joggers-sage-green (size XL)",2
G07V1REDXS,"organic-bamboo-women-lounge-joggers-red (size XS); organic-bamboo-men-lounge-joggers-red (size XS)",2
G07V1REDS,"organic-bamboo-women-lounge-joggers-red (size S); organic-bamboo-men-lounge-joggers-red (size S)",2
G07V1REDM,"organic-bamboo-women-lounge-joggers-red (size M); organic-bamboo-men-lounge-joggers-red (size M)",2
G07V1REDL,"organic-bamboo-women-lounge-joggers-red (size L); organic-bamboo-men-lounge-joggers-red (size L)",2
